order_id,customer_name,product_name,category,quantity,unit_price,region,country,order_date,revenue,profit
ORD00001,Kenneth Cunningham,Keyboard,Accessories,6,482.9,East,Malta,2026-04-13,2897.3999999999996,869.2199999999999
ORD00002,Henry Murray,Monitor,Electronics,2,1229.5,South,Zambia,2026-04-09,2459.0,737.6999999999999
ORD00003,Kristin Baker,Laptop,Accessories,10,55.94,South,Guinea,2026-02-25,559.4,167.82
ORD00004,David Jones,Phone,Accessories,8,1429.26,South,Tajikistan,2026-01-13,11434.08,3430.2239999999997
ORD00005,Kelsey Koch,Tablet,Accessories,4,1385.3,North,Mali,2026-04-04,5541.2,1662.36
ORD00006,John Fritz,Phone,Electronics,10,523.76,West,Maldives,2026-02-15,5237.6,1571.28
ORD00007,Kristen Mann,Tablet,Electronics,5,803.13,West,Bangladesh,2026-05-28,4015.65,1204.695
ORD00008,Roberto Mcdonald,Mouse,Accessories,10,271.5,South,American Samoa,2026-02-15,2715.0,814.5
ORD00009,Rhonda Pitts,Keyboard,Electronics,2,1297.59,West,Venezuela,2026-01-29,2595.18,778.554
ORD00010,Jennifer Morton,Phone,Electronics,2,287.44,West,San Marino,2026-01-11,574.88,172.464
ORD00011,Kara Barrett,Tablet,Electronics,3,969.21,West,Mayotte,2026-02-04,2907.63,872.289
ORD00012,Crystal Allen,Laptop,Accessories,10,1078.4,East,Christmas Island,2026-03-22,10784.0,3235.2
ORD00013,David Bates,Monitor,Electronics,1,127.98,South,American Samoa,2026-02-03,127.98,38.394
ORD00014,Cody Andersen,Laptop,Accessories,3,242.52,North,Guadeloupe,2026-06-30,727.5600000000001,218.268
ORD00015,Ashley Brown,Mouse,Accessories,1,249.11,North,Uganda,2026-04-24,249.11,74.733
ORD00016,Derek Edwards DDS,Tablet,Accessories,10,676.16,East,Moldova,2026-07-12,6761.599999999999,2028.4799999999998
ORD00017,Bryan Green,Phone,Electronics,7,1336.38,East,Greece,2026-06-09,9354.66,2806.3979999999997
ORD00018,Kyle Elliott,Phone,Electronics,1,738.15,North,Saint Lucia,2026-04-19,738.15,221.445
ORD00019,Tony Edwards,Laptop,Accessories,6,1354.0,South,Haiti,2026-05-25,8124.0,2437.2
ORD00020,James Patterson,Mouse,Electronics,2,1410.35,South,Malawi,2026-05-01,2820.7,846.2099999999999
ORD00021,Kimberly Alvarez,Tablet,Electronics,9,1337.48,North,Maldives,2026-01-16,12037.32,3611.196
ORD00022,Mark Hunt,Tablet,Accessories,5,430.82,South,Yemen,2026-07-01,2154.1,646.2299999999999
ORD00023,Christine Mcdaniel,Mouse,Accessories,5,322.18,North,South Georgia and the South Sandwich Islands,2026-01-16,1610.9,483.27
ORD00024,Lisa Williams,Monitor,Accessories,6,872.83,East,Saudi Arabia,2026-05-05,5236.9800000000005,1571.094
ORD00025,John Thomas,Keyboard,Electronics,6,1494.61,South,Mongolia,2026-07-08,8967.66,2690.298
ORD00026,Cassidy Hernandez,Mouse,Electronics,5,254.04,North,Timor-Leste,2026-02-15,1270.2,381.06
ORD00027,Dawn White,Phone,Accessories,5,514.68,East,Israel,2026-04-27,2573.3999999999996,772.0199999999999
ORD00028,Melissa Jones,Monitor,Electronics,4,1152.27,West,Tanzania,2026-05-09,4609.08,1382.724
ORD00029,Susan Stark,Keyboard,Electronics,10,132.69,East,Kyrgyz Republic,2026-06-13,1326.9,398.07
ORD00030,Carmen Walker,Mouse,Accessories,1,804.97,North,Chad,2026-05-04,804.97,241.49099999999999
ORD00031,Lori Kemp,Keyboard,Accessories,10,1422.62,West,Niue,2026-05-20,14226.199999999999,4267.86
ORD00032,Samantha French,Tablet,Electronics,6,1030.25,East,Benin,2026-02-01,6181.5,1854.4499999999998
ORD00033,Jaime Santiago,Laptop,Accessories,1,478.4,South,Ghana,2026-01-06,478.4,143.51999999999998
ORD00034,Carlos Brown,Tablet,Accessories,10,363.51,East,Greece,2026-07-03,3635.1,1090.53
ORD00035,Jacob Roberts,Phone,Electronics,6,1246.02,South,Cayman Islands,2026-02-24,7476.12,2242.836
ORD00036,Maria Leonard,Monitor,Electronics,9,1001.9,South,Ukraine,2026-05-15,9017.1,2705.13
ORD00037,Jennifer Hill,Monitor,Accessories,5,450.91,West,San Marino,2026-03-19,2254.55,676.365
ORD00038,Kimberly Coleman,Laptop,Accessories,2,1112.91,East,Afghanistan,2026-02-03,2225.82,667.746
ORD00039,Angela Howard,Tablet,Accessories,4,953.02,East,Serbia,2026-01-26,3812.08,1143.624
ORD00040,Karen Smith,Keyboard,Electronics,4,1197.91,North,Seychelles,2026-02-20,4791.64,1437.492
ORD00041,Michael Gill,Monitor,Accessories,5,108.3,South,Norway,2026-06-05,541.5,162.45
ORD00042,Sean Clarke,Phone,Electronics,1,317.42,South,United Arab Emirates,2026-04-10,317.42,95.226
ORD00043,Stephen Bailey,Tablet,Accessories,10,407.16,North,Jordan,2026-06-09,4071.6000000000004,1221.48
ORD00044,Gwendolyn Padilla,Monitor,Accessories,4,1020.98,North,Thailand,2026-02-12,4083.92,1225.176
ORD00045,Rachel Alexander,Tablet,Electronics,6,682.59,East,Turkmenistan,2026-02-16,4095.54,1228.662
ORD00046,Kelly Barnes,Monitor,Electronics,8,280.06,South,Liechtenstein,2026-03-08,2240.48,672.144
ORD00047,Kimberly Aguirre,Phone,Accessories,8,772.49,South,Indonesia,2026-04-23,6179.92,1853.9759999999999
ORD00048,Kaitlyn Hawkins,Mouse,Accessories,5,425.63,East,Greece,2026-02-18,2128.15,638.445
ORD00049,Linda Howard,Laptop,Electronics,3,1283.2,South,Sweden,2026-04-14,3849.6000000000004,1154.88
ORD00050,Nathan Henderson,Laptop,Accessories,9,898.19,West,Saint Barthelemy,2026-02-27,8083.710000000001,2425.1130000000003
ORD00051,Kevin Thompson MD,Monitor,Electronics,9,1153.3,West,Croatia,2026-06-04,10379.699999999999,3113.9099999999994
ORD00052,Christopher Haas,Monitor,Electronics,4,1388.86,North,Venezuela,2026-03-10,5555.44,1666.6319999999998
ORD00053,Oscar Brown,Tablet,Accessories,3,308.65,East,New Zealand,2026-01-10,925.9499999999999,277.78499999999997
ORD00054,Stephanie Lee,Monitor,Electronics,8,1051.22,North,Andorra,2026-02-09,8409.76,2522.928
ORD00055,Sherry Rivers,Monitor,Electronics,5,1086.47,West,Ghana,2026-04-21,5432.35,1629.7050000000002
ORD00056,Angela Huang,Laptop,Electronics,10,1101.9,West,Svalbard & Jan Mayen Islands,2026-06-29,11019.0,3305.7
ORD00057,Denise Crosby,Laptop,Electronics,7,1107.94,North,Somalia,2026-06-22,7755.58,2326.674
